Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
3,0816,"Select Sales, Agent for Goodwin Farm et al. II","","Competitive Edge --- Profumo","04/05/2019","B",Colt,"Competitive Edge","Profumo","","","","Yearling","Out",0
3,0817,"South Point Sales Agency, Agent XII","","Psalmody","03/17/2014","B",Mare,"Harlan's Holiday","Fantasy Song","","","","Racing or Broodmare Prospect","Pinhook Bloodstock International",50000
3,0818,"Penn Sales","","Not This Time --- Puligny (IRE)","04/25/2019","B",Filly,"Not This Time","Puligny (IRE)","","","","Yearling","*RNA (4,500)",---
3,0819,"Taylor Made Sales Agency, Agent XXVIII","","Pure Michigan","02/13/2014","DB/BR",Mare,"Temple City","Ladysaren'tlemons","Connect","04/11/2019","pregnant","Broodmare","Rhapsody Farm, LLC",5500
3,0820,"Bluewater Sales LLC, Agent IV","","American Freedom --- Purple Rose","04/05/2019","B",Filly,"American Freedom","Purple Rose","","","","Yearling","White Cloud Bloodstock",15000
3,0821,"Considine Farm","","Queen to Be","04/30/2011","CH",Mare,"Flatter","Raise the Kitty","Skipshot","06/14/2019","pregnant","Broodmare","Out",0
3,0822,"Marshall W. Silverman, Agent for Marathon Farms","","Kantharos --- Quiet Inferno","03/16/2019","B",Filly,"Kantharos","Quiet Inferno","","","","Yearling","Richard L. Davis",37000
3,0823,"Blackburn Farm (Michael T. Barnett), Agent","","Unified --- Raebella","04/17/2019","DB/BR",Filly,"Unified","Raebella","","","","Yearling","*RNA (1,000)",---
3,0824,"Taylor Made Sales Agency, Agent LXIV","","Rags Pauline","03/27/2016","CH",Filly,"Union Rags","Grand Pauline","","","","Broodmare Prospect","Rosilyn Polan",17000
3,0825,"Taylor Made Sales Agency, Agent VIII","","Unified --- Rare Medal","04/12/2019","DB/BR",Colt,"Unified","Rare Medal","","","","Yearling","*RNA (20,000)",---
3,0826,"Vinery Sales, Agent XLIV","","Real Point","05/02/2015","DB/BR",Mare,"Point of Entry","Dusty Rose","Shaman Ghost","05/26/2019","pregnant","Broodmare","Out",0
3,0827,"Blake-Albina Thoroughbred Services LLC, Agent I","","Cairo Prince --- Red Hot Heels","03/24/2019","GR/RO",Colt,"Cairo Prince","Red Hot Heels","","","","Yearling","Out",0
3,0828,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent I","","Mr Speaker --- Red Hot Tops","04/05/2019","GR/RO",Filly,"Mr Speaker","Red Hot Tops","","","","Yearling","Charlie Rimer, Agent for Rebel Stables",15000
3,0829,"St George Sales, Agent VII","","Red Menace","03/22/2011","CH",Mare,"Stormy Atlantic","Near and Dear","Wicked Strong","04/30/2019","pregnant","Broodmare","Jose M. Garcia-Blanco",6000
3,0830,"Taylor Made Sales Agency, Agent XCVII","","Uncle Mo --- Red Sashay","02/10/2019","DB/BR",Colt,"Uncle Mo","Red Sashay","","","","Yearling","Springhouse Farm",400000
3,0831,"St George Sales, Agent XII","","Renown","04/15/2013","CH",Mare,"Street Cry (IRE)","Miss Kate","Wicked Strong","05/03/2019","pregnant","Broodmare","Barry Arnason",22000
3,0832,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent IV","","Dialed In --- Revealing Moment","01/18/2019","DB/BR",Colt,"Dialed In","Revealing Moment","","","","Yearling","Whitehorse Stables",90000
3,0833,"Taylor Made Sales Agency, Agent LVI","","Bayern --- Rockin Girl","03/06/2019","B",Filly,"Bayern","Rockin Girl","","","","Yearling","Lisa Goodin",17000
3,0834,"Taylor Made Sales Agency, Agent LVI","","Rockin Girl","03/24/2010","B",Mare,"Rock Hard Ten","Dharma Girl","Twirling Candy","03/30/2019","pregnant","Broodmare","Charles H. Deters",65000
3,0835,"South Point Sales Agency, Agent XXI","","Rock 'n Wolin","02/13/2008","B",Mare,"Not For Love","Star Celebrity","Hard Spun","02/25/2019","pregnant","Broodmare","Out",0
3,0836,"Brandywine Farm (Jim & Pam Robinson)","","Cupid --- Rockport Beauty","02/20/2019","GR/RO",Filly,"Cupid","Rockport Beauty","","","","Yearling","Norman G. Houston",35000
3,0837,"Forbush Farm, Agent II","","Big Blue Kitten --- Rose of Aran","03/20/2019","DB/BR",Filly,"Big Blue Kitten","Rose of Aran","","","","Yearling","*RNA (11,000)",---
3,0838,"Taylor Made Sales Agency, Agent LXVI","","Salty Mo","04/27/2013","B",Mare,"Uncle Mo","Lake Huron","California Chrome","04/03/2019","pregnant","Broodmare","*RNA (47,000)",---
3,0839,"Taylor Made Sales Agency, Agent II","","Salute Regina","04/17/2010","B",Mare,"Salute the Sarge","Seeking Regina","Midnight Lute","04/16/2019","pregnant","Broodmare","*RNA (19,000)",---
3,0840,"Taylor Made Sales Agency, Agent LXXXII","","Sampdoria","02/08/2017","B",Filly,"The Factor","Satin Box (IRE)","","","","Broodmare Prospect","Eugenio Zegers",4500
3,0841,"South Point Sales Agency, Agent XXIII","","Sapphire Spitfire","02/16/2013","B",Mare,"Awesome Again","Sapphiresndiamonds","Mo Town","05/13/2019","pregnant","Broodmare","Out",0
3,0842,"Hill 'n' Dale Sales Agency, Agent","","Sassy Sadie","03/11/2014","B",Mare,"Malibu Moon","Spring Party","Always Dreaming","03/30/2019","pregnant","Broodmare","Machmer Hall",82000
3,0843,"Denali Stud, Agent XXIX","","Outwork --- Say's Who","02/10/2019","B",Colt,"Outwork","Say's Who","","","","Yearling","Knockgriffin Farm",24000
3,0844,"Select Sales, Agent III","","Secret Candy","01/15/2013","B",Mare,"Candy Ride (ARG)","Secret of the Sea","Tiznow","02/15/2019","pregnant","Broodmare","Christopher Shelli",22000
3,0845,"St George Sales, Agent XII","","Cupid --- Secret Song","02/14/2019","GR/RO",Colt,"Cupid","Secret Song","","","","Yearling","Out",0
3,0846,"Taylor Made Sales Agency, Agent VIII","","Connect --- Seeking Paradise","04/22/2019","B",Filly,"Connect","Seeking Paradise","","","","Yearling","The Team",13000
3,0847,"Vinery Sales, Agent III","","Senorita Margarita","04/27/2007","B",Mare,"Elusive Quality","Guiza","Gormley","04/09/2019","pregnant","Broodmare","Bozzi Bloodstock, Agent",5500
3,0848,"South Point Sales Agency, Agent V","","September Issue","02/18/2013","B",Mare,"Medaglia d'Oro","Malibu Legacy","Peace and Justice","05/26/2019","pregnant","Broodmare","Gayle Van Leer, Agent",25000
3,0849,"Taylor Made Sales Agency, Agent XXX","","Big Blue Kitten --- Serene Sophia","01/30/2019","CH",Colt,"Big Blue Kitten","Serene Sophia","","","","Yearling","Out",0
3,0850,"ELiTE, Agent","","Shadan (FR)","03/12/2015","B",Mare,"Orpen","Alatasarai (IRE)","Munnings","04/24/2019","pregnant","Broodmare","Haras d'Etreham",145000
3,0851,"South Point Sales Agency, Agent XXIII","","Sherry Cagan","05/01/2012","DB/BR",Mare,"Scat Daddy","La Vida Vino","Khozan","05/23/2019","pregnant","Broodmare","Out",0
3,0852,"Select Sales, Agent XXVIII","","Unified --- She's a Rainbow","01/28/2019","DB/BR",Filly,"Unified","She's a Rainbow","","","","Yearling","Out",0
3,0853,"Shawhan Place LLC","","Outwork --- She's Grumpy","04/05/2019","B",Colt,"Outwork","She's Grumpy","","","","Yearling","*RNA (8,500)",---
3,0854,"Taylor Made Sales Agency, Agent IV","","Shes Into Mischief","02/18/2013","B",Mare,"Into Mischief","Scarlet Bulletin","Not This Time","04/09/2019","pregnant","Broodmare","J. Murrell, Agent for Joey Lopez",20000
3,0855,"Hunter Valley Farm, Agent","","Fed Biz --- She's Justa Friend","02/02/2019","CH",Filly,"Fed Biz","She's Justa Friend","","","","Yearling","Ross A. McKague",9000
3,0856,"Select Sales, Agent XXIV","","Ship Ahoy","03/13/2013","B",Mare,"Midshipman","Yam","Speightster","03/15/2019","pregnant","Broodmare","Out",0
3,0857,"Select Sales, Agent XXIV","","Lookin At Lucky --- Ship Ahoy","02/03/2019","B",Colt,"Lookin At Lucky","Ship Ahoy","","","","Yearling","Out",0
3,0858,"Garrencasey Sales LLC, Agent","","Gormley --- Shoe Queen","01/29/2019","B",Colt,"Gormley","Shoe Queen","","","","Yearling","*RNA (1,000)",---
3,0859,"Ballysax Bloodstock, Agent VI","","Street Boss --- Shoot the Moon","04/17/2019","CH",Filly,"Street Boss","Shoot the Moon","","","","Yearling","*RNA (19,000)",---
3,0860,"Legacy Bloodstock, Agent XVI","","Munnings --- Sicaria","01/26/2019","CH",Colt,"Munnings","Sicaria","","","","Yearling","Tanner Wingo, Agent",17000
3,0861,"Taylor Made Sales Agency, Agent LXVIII","","Silly Factor","03/15/2014","GR/RO",Mare,"The Factor","Find the Humor","","","","Broodmare Prospect","Barry Fowler",30000
3,0862,"Darby Dan Farm, Agent VII","","Tapiture --- Silver Coin Lady","04/04/2019","CH",Colt,"Tapiture","Silver Coin Lady","","","","Yearling","Out",0
3,0863,"Bluewater Sales LLC, Agent X","","Daredevil --- Silver Prize","04/19/2019","CH",Colt,"Daredevil","Silver Prize","","","","Yearling","Savesnine Corp.",2500
3,0864,"Select Sales, Agent XX","","Simple Symphony","02/15/2007","DB/BR",Mare,"Consolidator","Avie's Song","Gormley","05/26/2019","pregnant","Broodmare","Sligo Farm",3500
3,0865,"Select Sales, Agent XX","","Klimt --- Simple Symphony","04/28/2019","DB/BR",Filly,"Klimt","Simple Symphony","","","","Yearling","Le Beau Cheval Farm",2500
3,0866,"Taylor Made Sales Agency, Agent XXXII","","Sing Sing Dixie","01/24/2016","B",Mare,"Into Mischief","Sing Dixie Sing","Malibu Moon","06/15/2019","pregnant","Broodmare","Ramspring Farm",32000
3,0867,"Denali Stud, Agent VI","","Sky Bird","02/03/2011","CH",Mare,"Birdstone","Comanche Star","Goldencents","04/02/2019","pregnant","Broodmare","Out",0
3,0868,"Taylor Made Sales Agency, Agent VII","","Smart Number","02/26/2011","CH",Mare,"Curlin","Star Number","Include","03/02/2019","pregnant","Broodmare","Spring Farm",10000
3,0869,"South Point Sales Agency, Agent I","","Snow Dancer","04/18/2015","B",Mare,"Bernardini","Snow Fall","Tourist","03/19/2019","pregnant","Broodmare","Out",0
3,0870,"Vinery Sales, Agent XXXI","","So Explosive","01/23/2007","DB/BR",Mare,"Mineshaft","Awesome","Daddy Long Legs","03/14/2019","pregnant","Broodmare","William Nicks",2500
3,0871,"Taylor Made Sales Agency, Agent LXXXII","","Super Saver --- Solana Wind","03/24/2019","DB/BR",Filly,"Super Saver","Solana Wind","","","","Yearling","John Liviakis",20000.00
3,0872,"Pope McLean (Crestwood Farm), Agent VI","","Hand of Hope","04/21/2019","DB/BR",Filly,"Mr Speaker","Song for Annie","","","","Yearling","War Horse Place LLC",5500
3,0873,"Taylor Made Sales Agency, Agent VIII","","Overanalyze --- Spider Walkin","03/03/2019","CH",Filly,"Overanalyze","Spider Walkin","","","","Yearling","*RNA (3,000)",---
3,0874,"Select Sales, Agent X","","Goldencents --- Spring Mambo","02/12/2019","DB/BR",Colt,"Goldencents","Spring Mambo","","","","Yearling","Out",0
3,0875,"Scott Mallory, Agent II","","Squan's Kingdom","05/06/2014","CH",Mare,"Trappe Shot","Star Wisper","","","","Broodmare Prospect","Morell Bloodstock LLC, Agent",18000
3,0876,"Taylor Made Sales Agency, Agent XXXIII","","Starcloud","02/17/2015","B",Mare,"Backtalk","Starletta","","","","Racing or Broodmare Prospect","*RNA (32,000)",---
3,0877,"Taylor Made Sales Agency, Agent XCIII","","Starinthemeadow","02/20/2000","CH",Mare,"Meadowlake","Lite a Star","Animal Kingdom","03/06/2019","pregnant","Broodmare","Warren Harang",32000
3,0878,"Hill 'n' Dale Sales Agency, Agent","","Kantharos --- Star Presence","05/12/2019","B",Colt,"Kantharos","Star Presence","","","","Yearling","Riley Mangum",17000
3,0879,"South Point Sales Agency, Agent I","","Star Rating (IRE)","01/08/2009","B",Mare,"Dansili (GB)","Islington (IRE)","Fed Biz","04/11/2019","pregnant","Broodmare","Out",0
3,0880,"Taylor Made Sales Agency, Agent II","","Starry Affair","05/08/2016","B",Filly,"Soldat","Glow","","","","Broodmare Prospect","Burton Sipp, Agent",1000.00
3,0881,"Winter Quarter Farm, Agent","","War Correspondent --- Starship Cruiser","03/13/2019","B",Filly,"War Correspondent","Starship Cruiser","","","","Yearling","Equine Consulting, Agent",9000
3,0882,"Taylor Made Sales Agency, Agent XXXIV","","Super Saver --- Starship Luna","05/18/2019","CH",Colt,"Super Saver","Starship Luna","","","","Yearling","Will Win Stables",1200
3,0883,"Nicky Drion Thoroughbreds, Agent IV","","Stop the Wedding","04/07/2008","DB/BR",Mare,"Congrats","Wedding Jitters","Cairo Prince","03/15/2019","pregnant","Broodmare","Robert Tillyer",11000
3,0884,"Terrazas Thoroughbreds, Agent III","","Competitive Edge --- Stylish Quality","04/07/2019","B",Colt,"Competitive Edge","Stylish Quality","","","","Yearling","Out",0
3,0885,"Considine Farm","","Noble Mission (GB) --- Stylish Spirit","03/01/2019","B",Colt,"Noble Mission (GB)","Stylish Spirit","","","","Yearling","Exclusive Equine Investments",20000
3,0886,"Mulholland Farm","","Tapizar --- Suncadia","02/19/2019","B",Colt,"Tapizar","Suncadia","","","","Yearling","Kinsman Farm",11000
3,0887,"Taylor Made Sales Agency, Agent XXXVI","","Supercommittee","03/28/2015","DB/BR",Mare,"The Factor","Cry Hallelujah","","","","Broodmare Prospect","Run The Table Stable",85000
3,0888,"Taylor Made Sales Agency, Agent for Irving Cowan","","Superior Selection","01/31/2007","CH",Mare,"Giant's Causeway","Society Selection","Classic Empire","06/05/2019","pregnant","Broodmare","Equus Farm",7500
3,0889,"Taylor Made Sales Agency, Agent XXXIX","","Animal Kingdom --- Swap Out","03/27/2019","DB/BR",Filly,"Animal Kingdom","Swap Out","","","","Yearling","Springland Farm",1500
3,0890,"South Point Sales Agency, Agent XXVI","","Swear for Roses","02/23/2010","CH",Mare,"Flower Alley","Swearingen","Unified","05/12/2019","pregnant","Broodmare","Pat Doran",16000
3,0891,"South Point Sales Agency, Agent XXVI","","Lea --- Swear for Roses","04/19/2019","CH",Filly,"Lea","Swear for Roses","","","","Yearling","Andy Simoff",6500
3,0892,"Scott Mallory, Agent VIII","","Outwork --- Sweet Muqtarib","03/19/2019","DB/BR",Filly,"Outwork","Sweet Muqtarib","","","","Yearling","*RNA (24,000)",---
3,0893,"South Point Sales Agency, Agent I","","Sweet Nothings","04/06/2009","DB/BR",Mare,"Street Cry (IRE)","Dutchess Mojo","Carpe Diem","06/04/2019","pregnant","Broodmare","Bruno DeBerdt, Agent for Faisal Hammad al Rasheed",13000.00
3,0894,"Vinery Sales, Agent XLV","","Sweet Pea Mama Ve","02/22/2013","B",Mare,"Hard Spun","Miss Confusion","","","","Broodmare Prospect","Beech Spring, Agent",4700
3,0895,"Castle Park Farm LLC (Noel Murphy), Agent III","","Sweet Queen","03/20/2013","DB/BR",Mare,"Twirling Candy","Kiawah Queen","Practical Joke","03/31/2019","pregnant","Broodmare","Rhapsody Farm, LLC",52000
3,0896,"South Point Sales Agency, Agent XV","","Sweet Rebellion","03/03/2016","DB/BR",Filly,"Revolutionary","Ah Honey Honey","","","","Racing or Broodmare Prospect","Out",0
3,0897,"Wynnstay Sales, Agent III","","Street Boss --- Sweet Sugar","04/25/2019","CH",Filly,"Street Boss","Sweet Sugar","","","","Yearling","*RNA (19,000)",---
3,0898,"Castle Park Farm LLC (Noel Murphy), Agent VI","","Verrazano --- Tale of Glory","02/22/2019","CH",Filly,"Verrazano","Tale of Glory","","","","Yearling","Equine Consulting, Agent",7000
3,0899,"Taylor Made Sales Agency, Agent LXXI","","Tammany","02/12/2017","DB/BR",Filly,"Constitution","Cruisin'nthebridle","","","","Racing or Broodmare Prospect","Out",0
3,0900,"Bluewater Sales LLC, Agent XIII","","Teenage Idol","02/05/2016","CH",Mare,"Distorted Humor","Smooth Charm","Outwork","06/01/2019","not pregnant","Broodmare","Ed Price, Agent",13000
3,0901,"Denali Stud, Agent III","","Animal Kingdom --- Temperence Gift","02/15/2019","B",Colt,"Animal Kingdom","Temperence Gift","","","","Yearling","Ben Sam Stable",3500
3,0902,"Mulholland Farm, Agent","","Klimt --- Tenampa","05/03/2019","B",Filly,"Klimt","Tenampa","","","","Yearling","Omega Farm II",8000
3,0903,"Taylor Made Sales Agency, Agent VIII","","Street Boss --- Tenggara","03/31/2019","CH",Filly,"Street Boss","Tenggara","","","","Yearling","*RNA (20,000)",---
3,0904,"South Point Sales Agency, Agent XIII","","Thank You Girl","05/06/2017","DB/BR",Filly,"Twirling Candy","Holiday Girl","","","","Racing or Broodmare Prospect","Out",0
3,0905,"Taylor Made Sales Agency, Agent LXXII","","California Chrome --- Tight Weave","03/27/2019","B",Colt,"California Chrome","Tight Weave","","","","Yearling","Briston Bloodstock",7000
3,0906,"Vinery Sales, Agent XXX","","Runhappy --- Tinkerbella","01/18/2019","GR/RO",Colt,"Runhappy","Tinkerbella","","","","Yearling","Al Gold",42000
3,0907,"Legacy Bloodstock, Agent for Sycamore Bark","Thoroughbreds LLC","Mohaymen --- Tiz the Mambo","05/14/2019","GR/RO",Colt,"Mohaymen","Tiz the Mambo","","","","Yearling","Valentine Jimenez",13000
3,0908,"Taylor Made Sales Agency, Agent VIII","","Constitution --- Tiz Willy","02/07/2019","CH",Colt,"Constitution","Tiz Willy","","","","Yearling","Solis/Litt",210000
3,0909,"Buckland Sales (Zach Madden), Agent VIII","","Tizzire","04/17/2016","DB/BR",Filly,"Tiznow","Unbound","","","","Broodmare Prospect","Kilima Drift Stable",20000
3,0910,"Hill 'n' Dale Sales Agency, Agent","","Bayern --- To My Delight","04/27/2019","DB/BR",Filly,"Bayern","To My Delight","","","","Yearling","Kathie Maybee",3200
3,0911,"Patricia Clark, Agent IV","","Tough Irma","04/24/2015","DB/BR",Mare,"Stormy Atlantic","Dixieland Event","","","","Broodmare Prospect","Catherine Parke, Agent",105000
3,0912,"Alliance Sales Agency, Agent","","Trac N Jam","03/27/2008","B",Mare,"El Corredor","Swan River","American Freedom","04/17/2019","pregnant","Broodmare","Ahmad Alabdullatif",12000
3,0913,"Wynnstay Sales, Agent","","Tracy Racy","03/21/2015","B",Mare,"Algorithms","Tesseract","","","","Racing or Broodmare Prospect","*RNA (19,000)",---
3,0914,"Denali Stud, Agent XXIII","","Trading (FR)","03/07/2004","DB/BR",Mare,"Anabaa","Tresoriere","Lea","02/26/2019","pregnant","Broodmare","Cole Bennett",1700
3,0915,"Pope McLean (Crestwood Farm), Agent","","Transact","02/11/2013","CH",Mare,"Hard Spun","Exchange Funds","Sharp Azteca","02/27/2019","pregnant","Broodmare","Bud Petrosian",25000
3,0916,"Vinery Sales, Agent VII","","Constitution --- Tricia's Trama","04/13/2019","B",Colt,"Constitution","Tricia's Trama","","","","Yearling","Dailey Bloodstock, Agent",75000
3,0917,"Darby Dan Farm, Agent IV","","Connect --- Truss","04/03/2019","CH",Filly,"Connect","Truss","","","","Yearling","Out",0
3,0918,"Darby Dan Farm, Agent I","","Congrats --- Tuxedo Lady","03/19/2019","DB/BR",Colt,"Congrats","Tuxedo Lady","","","","Yearling","Chris & Kenzie Johnson",25000
3,0919,"Nicky Drion Thoroughbreds, Agent IV","","Two to One","03/19/2014","B",Mare,"Yesbyjimminy","Stop the Wedding","Paynter","04/30/2019","pregnant","Broodmare","*RNA (2,200)",---
3,0920,"Nicky Drion Thoroughbreds, Agent IV","","Summer Front --- Two to One","04/04/2019","B",Colt,"Summer Front","Two to One","","","","Yearling","Jorge Wagner",1000.00
3,0921,"Taylor Made Sales Agency, Agent LXXXI","","Ultimate Mo","02/18/2016","B",Filly,"Uncle Mo","Moon Buzz","","","","Broodmare Prospect","Ashview Farm",73000
3,0922,"Taylor Made Sales Agency, Agent XCIII","","Under Wraps","04/14/2008","DB/BR",Mare,"Dixie Union","Unacloud","Midnight Lute","02/27/2019","pregnant","Broodmare","Ernie Phillips",16000
3,0923,"Vinery Sales, Agent XXI","","Unlimited Resource","03/02/2014","B",Mare,"Broken Vow","Off Limits","","","","Racing or Broodmare Prospect","South Florida Thoroughbreds",27000
3,0924,"Taylor Made Sales Agency, Agent LXXXVI","","Speightster --- Velvet Moss","03/29/2019","CH",Colt,"Speightster","Velvet Moss","","","","Yearling","Jen Stables",11500
3,0925,"Mulholland Farm, Agent","","Veronica's Lake","05/01/2007","B",Mare,"Salt Lake","Harbor Princess","Texas Red","05/19/2019","pregnant","Broodmare","William Nicks",2000
3,0926,"Mulholland Farm, Agent","","Texas Red --- Veronica's Lake","03/18/2019","B",Filly,"Texas Red","Veronica's Lake","","","","Yearling","Equine Consulting, Agent",1000
3,0927,"Garrencasey Sales LLC, Agent","","Kantharos --- Virtuous","02/08/2019","DB/BR",Filly,"Kantharos","Virtuous","","","","Yearling","Ermz Ventur",60000
3,0928,"Paul Tackett","","Overanalyze --- Wabash Moon","02/26/2019","DB/BR",Filly,"Overanalyze","Wabash Moon","","","","Yearling","Equine Consulting, Agent",6000
3,0929,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent II","","First Samurai --- Waltzing","03/29/2019","DB/BR",Filly,"First Samurai","Waltzing","","","","Yearling","R. F. Crean",10000
3,0930,"Buckland Sales (Zach Madden), Agent XXX","","We Love Lucy","05/13/2016","CH",Filly,"Majesticperfection","Psych","","","","Broodmare Prospect","Out",0
3,0931,"St George Sales, Agent XVIII","","Upstart --- West Kentucky","05/23/2019","DB/BR",Colt,"Upstart","West Kentucky","","","","Yearling","Alden Caldwell, Agent",8000
3,0932,"Hill 'n' Dale Sales Agency, Agent","","Wild At Midnight","03/28/2014","DB/BR",Mare,"Midnight Lute","Wild Bout Tiffany","Army Mule","04/18/2019","pregnant","Broodmare","Matt Bowling, Agent for Clearsky Farms",49000
3,0933,"Vinery Sales, Agent XLVIII","","Klimt --- Wimbledon Star","04/02/2019","B",Colt,"Klimt","Wimbledon Star","","","","Yearling","Gina Fennell",6000
3,0934,"Legacy Bloodstock, Agent for Spendthrift Farm LLC","","Jimmy Creed --- Windy Forecast","03/11/2019","CH",Filly,"Jimmy Creed","Windy Forecast","","","","Yearling","Out",0
3,0935,"Taylor Made Sales Agency, Agent LXXIII","","Maclean's Music --- Wine Train","02/28/2019","B",Filly,"Maclean's Music","Wine Train","","","","Yearling","Stone Bridge Farm",31000
3,0936,"Taylor Made Sales Agency, Agent XCIII","","Winning Point","04/05/2004","CH",Mare,"Point Given","Bibical Sense","Distorted Humor","02/27/2019","pregnant","Broodmare","Robert Wright",20000
3,0937,"Legacy Bloodstock, Agent for Sycamore Bark","Thoroughbreds LLC","Tourist --- Xtrapleasure","04/23/2019","B",Filly,"Tourist","Xtrapleasure","","","","Yearling","Rolex Ranch",1000
3,0938,"Alliance Sales Agency, Agent II","","Run Away and Hide --- Yaletown","04/28/2019","DB/BR",Colt,"Run Away and Hide","Yaletown","","","","Yearling","*RNA (6,500)",---
3,0939,"Legacy Bloodstock, Agent for Spendthrift Farm LLC","","Brody's Cause --- Yara","03/26/2019","CH",Colt,"Brody's Cause","Yara","","","","Yearling","Out",0
3,0940,"ELiTE, Agent","","Zarmella (FR)","02/07/2015","B",Mare,"Lawman (FR)","Daltiana (FR)","","","","Racing or Broodmare Prospect","Magna Carta Bloodstock for Gestut Zur Kuste",35000
3,0941,"Taylor Made Sales Agency, Agent LXXV","","Zealous Wildcat","03/21/2012","DB/BR",Mare,"Bluegrass Cat","Zealous Connection","California Chrome","03/17/2019","pregnant","Broodmare","Spring Farm",20000
3,0942,"Vinery Sales, Agent XLII","","Animal Kingdom --- Zipline","01/22/2019","DB/BR",Colt,"Animal Kingdom","Zipline","","","","Yearling","Summer Wind Farm",9500
3,0943,"Taylor Made Sales Agency, Agent XLII","","Acting Out","04/05/2017","GR/RO",Filly,"Blame","Riding Point","","","","Racing or Broodmare Prospect","Alan Sherman",12000
3,0944,"St George Sales, Agent X","","Adios Caballero","07/24/2009","B",Mare,"El Prado (IRE)","Langano","Free Drop Billy","04/17/2019","pregnant","Broodmare","Alistar Roden Bloodstock, Agent",4000
